x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
3.7689343901,0.848869925,82.0558729589,0.3705816273,5.546142382,619.7641278,10.15999092,329.220876,17.6333056426,359.6493420909,8.4917116942,487.9543021636
3.9951677733,0.8765046549,81.6822469096,0.3880365002,5.832878732,616.8843514,10.45231304,329.591133,18.1828003608,361.5166981487,8.6915279554,475.1686798708
4.2153563644,0.8951983008,81.183746224,0.4009544471,6.119615082,613.1930018,10.73346362,331.5246971,18.732295079,363.1300802374,8.8913442166,462.383057578
4.3966268855,0.9124277699,80.6350833334,0.4054466743,6.341184079,607.9832246,11.02019997,331.5246971,19.2817897972,364.5402831507,9.0911604777,450.0164923342
4.747134992,0.9300242937,80.0861490824,0.4014908324,6.562753077,601.1503008,11.30693632,332.0482928,19.8312845154,365.8488964764,9.2965271906,437.1531451537
5.2221651711,0.9420352543,79.5371459145,0.3953894492,6.758255134,595.528192,11.59367267,332.755147,20.3807792337,367.1067150083,9.5351966137,424.1726628546
5.7711515642,0.9370672611,78.9881793586,0.3904278848,6.914656779,588.5447344,11.88040902,333.5405405,20.9302739519,368.2121491586,9.7655403592,411.0433650894
6.16967588,0.9201598371,78.4393334074,0.3892210178,7.123192306,579.9054054,12.16714537,333.5405405,21.4797686701,369.317583309,10.0902417836,398.3680222778
6.4184265144,0.903705095,77.8907372802,0.3957917382,7.22746007,573.7138863,12.45388172,334.5877319,22.0292633883,370.3722226656,10.6197548757,400.1514972075
6.5673429781,0.887821266,77.3423435965,0.4086649863,7.407321962,564.4986021,12.74061807,335.8443616,22.5787581065,371.6808359913,10.9838645071,412.7797889896
6.7447122753,0.870492343,76.7940102151,0.4234155831,7.51419642,557.5871389,13.02735442,336.5512158,23.1282528247,373.0402441108,11.18923122,424.8968981236
6.9149156639,0.8525760137,76.2455669973,0.4347467234,7.670598065,549.5237651,13.31409077,337.6507668,23.6777475429,375.0091897562,11.3890474812,437.045170251
7.0636505091,0.8334227929,75.6966693584,0.4319307004,7.774865829,544.916123,13.60082712,338.3838007,24.2272422611,377.3336989585,11.5888637423,449.6823422689
7.212337289,0.8134043267,75.2720695354,0.4156938692,7.904015673,536.0673558,13.88756347,339.8498687,24.7767369793,379.861387336,11.7886800035,462.878257019
7.3609554041,0.7921497955,74.9970539459,0.396641015,7.970367886,529.6533085,14.17429982,340.8970601,25.3262316975,382.4906653013,11.9884962647,476.1440146105
7.4952676964,0.7701883905,74.802465271,0.3790222466,8.165869942,518.9981361,14.46103617,342.7820046,25.8757264157,385.3231224418,12.1883125258,489.3399293606
7.5834637213,0.7527280027,74.6181822094,0.3617312692,8.270137706,511.6547064,14.74777252,344.2480725,26.4252211339,388.2063743761,12.388128787,501.907258537
7.6823891133,0.7357977702,74.4251781457,0.3441359144,8.37440547,503.0153774,15.03450887,345.9759383,26.9747158522,390.937241929,12.5879450482,514.6142733964
7.7812595734,0.7178786858,74.2713796717,0.3266986018,8.503555313,495.9075659,15.32124522,347.9394222,27.5242105704,393.4649303066,12.7877613093,526.9720740483
7.8552129473,0.7008486038,74.1461461647,0.3109892161,8.622041408,488.4313673,15.60798157,349.4840295,28.0737052886,395.738644715,12.9931280222,539.8807353862
7.9624248085,0.683275939,73.9959416069,0.294493132,8.713275701,481.9930103,15.89471792,350.7930187,28.6232000068,397.8091799481,13.2317974452,552.6645012898
8.061171672,0.6631319377,73.8456904585,0.2765465726,8.817543465,475.2255359,16.18145427,351.9449293,29.172694725,399.8797151812,13.4621411908,565.2311609488
8.1599185354,0.6429879364,73.6267308188,0.2552503984,8.97394511,465.1463187,16.46819062,353.7251546,29.7221894432,401.8486608266,13.6655255994,577.2396691378
8.2586859984,0.6232147545,73.3146301945,0.2465844228,9.205940884,451.61137,16.75492697,355.1912226,30.2716841614,403.2080689462,13.9866588763,590.8020925133
8.3574053959,0.6025763272,73.0970524833,0.2683108227,9.312815342,443.4040075,17.04166332,356.8667288,30.8211788796,404.5166822719,14.361314366,603.0662607172
8.4406291076,0.5812133221,72.9479937415,0.2874865986,9.417083106,436.0605778,17.32839967,358.1233585,31.3706735978,405.4697320407,14.8358779863,613.8878425481
8.5109144073,0.5623572579,72.7989863286,0.3082603557,9.625618633,427.7092265,17.61513602,359.6941456,31.920168316,406.1688078405,15.3853727045,620.0219612874
8.6078517078,0.5417408343,72.6499868124,0.3292799562,9.747264357,420.0298229,17.90187237,361.2387529,32.4696630342,407.3250367847,15.9348674227,619.2479880662
8.6869454764,0.5209383122,72.5009359674,0.3487015753,9.909748289,411.8704567,18.18860872,362.3383038,33.0191577524,408.5828553166,16.4843621409,611.362743709
